rule_id,remediation_text,terraform_snippet,azure_cli_command,portal_steps,estimated_effort_hours,risk_if_not_fixed
zt_id_009,Enforce just-in-time VM access via Defender for Cloud,"resource ""azurerm_security_center_server_vulnerability_assessment_virtual_machine"" ""vm"" { virtual_machine_id = var.vm_id }","az security jit-policy create --location <region> --resource-group <rg> --name default --virtual-machines @jit-policy.json",Defender for Cloud > Workload protections > JIT VM access,2,Management ports remain continuously open.
zt_id_010,Disable standing access; require PIM activation for Contributor role,"resource ""azuread_privileged_access_group_eligibility_schedule"" ""contrib"" { group_id = var.contributors_group_id principal_id = var.principal_id access_id = ""member"" duration = ""P180D"" }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/roleManagement/directory/roleEligibilityScheduleRequests"" --body @contrib-elig.json",PIM > Azure resources > Roles > Contributor > Assignments > Eligible,3,Standing Contributor access enables immediate impact on compromise.
zt_id_011,Remove high-privilege application-level Graph permissions from App Registration,"# removal via azuread_application","az ad app permission delete --id <app-id> --api 00000003-0000-0000-c000-000000000000 --api-permissions <perm-id>=Role",Entra ID > App registrations > API permissions > Remove,2,Tenant-wide persistence via app-only Graph access.
zt_data_001,"Fix: Storage account allows public blob access","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_002,"Fix: SQL Server Transparent Data Encryption (TDE) disabled","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_003,"Fix: SQL Server auditing not enabled","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_004,"Fix: Key Vault soft delete disabled","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_005,"Fix: Key Vault purge protection disabled","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_006,"Fix: Storage account encryption-at-rest key source not configured","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_007,"Fix: SQL Server firewall allows all Azure services","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_008,"Fix: VM has no backup protection","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_009,"Fix: Key Vault lacks diagnostic settings for secret lifecycle visibility","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_data_010,"Fix: Storage account not using customer-managed keys (BYOK)","resource ""azurerm_storage_account"" ""sa"" { allow_blob_public_access = false min_tls_version = ""TLS1_2"" }","az storage account update --name <name> --resource-group <rg> --allow-blob-public-access false","Azure Portal > Storage accounts > <sa> > Configuration",2,"Violation of Data pillar Zero Trust principle"
zt_net_001,"Fix: NSG allows SSH (22) from the Internet","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_002,"Fix: NSG allows RDP (3389) from the Internet","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_003,"Fix: Subnet has no associated Network Security Group","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_004,"Fix: VNet peering without central firewall inspection","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_005,"Fix: No Azure Firewall or NVA deployed","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_006,"Fix: Virtual Machine has a direct public IP","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_007,"Fix: VNet missing DDoS protection","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_008,"Fix: Application Gateway without WAF","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_009,"Fix: Storage account network default action is Allow","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_net_010,"Fix: PaaS resource missing private endpoint","resource ""azurerm_network_security_rule"" ""deny_internet"" { name = ""Deny-Internet"" priority = 100 direction = ""Inbound"" access = ""Deny"" source_address_prefix = ""Internet"" }","az network nsg rule create --name Deny-Internet --nsg-name <nsg> --priority 100 --resource-group <rg> --access Deny","Azure Portal > Network security groups > <nsg> > Inbound security rules",2,"Violation of Network pillar Zero Trust principle"
zt_vis_001,"Fix: Security-relevant resource has no diagnostic settings","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_002,"Fix: No Log Analytics workspace in subscription","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_003,"Fix: Microsoft Defender for Cloud plan on Free tier","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_004,"Fix: No alerting on critical management operations","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_005,"Fix: Activity log retention appears insufficient","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_006,"Fix: NSG flow logs disabled","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_007,"Fix: No Microsoft Sentinel deployment found","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_008,"Fix: No alert on Owner role assignment","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_009,"Fix: No Network Watcher in subscription","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_vis_010,"Fix: Just-in-Time VM access not configured","resource ""azurerm_log_analytics_workspace"" ""law"" { name = ""argus-law"" location = ""eastus"" resource_group_name = var.rg_name sku = ""PerGB2018"" }","az monitor log-analytics workspace create --name argus-law --resource-group <rg>","Azure Portal > Monitor > Log Analytics workspaces",2,"Violation of Visibility pillar Zero Trust principle"
zt_wl_001,"Fix: Virtual Machine has no managed identity","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_002,"Fix: Container image pulled from public registry","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_003,"Fix: AKS API server is publicly reachable without IP allowlist","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_004,"Fix: Function App has no authentication enabled","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_005,"Fix: App Service allows HTTP (not HTTPS only)","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_006,"Fix: VM missing vulnerability assessment extension","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_007,"Fix: AKS cluster allows privileged containers","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_008,"Fix: App Service has remote debugging enabled","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_009,"Fix: VM missing antimalware extension","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_010,"Fix: Shared user-assigned managed identity across workloads","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
zt_wl_011,"Fix: App Service uses legacy Easy Auth v1 without client auth enforcement","resource ""azurerm_linux_virtual_machine"" ""vm"" { identity { type = ""SystemAssigned"" } }","az vm identity assign --name <vm-name> --resource-group <rg>","Azure Portal > Virtual machines > <vm> > Identity",2,"Violation of Workload pillar Zero Trust principle"
